Building_Type,Main_Function,Building_Size,EUI2020,EUI_Quartile__Energy_Ranking2020,EUI2021_,EUI_Quartile__Energy_Ranking_2021,EUI2022_,EUI_Quartile__Energy_Ranking_2022,TOP_CSC_Year,Award__Green_Non_Green_,Green_Mark_Version,GFA,AC_Area,AC_Area_Percentage,No_Of_Hotel_Room,AC_Type,Age__of_Chiller,Aircon_system_efficiency__kW_RT_
Commercial Building,Retail,Omit,228.83,,0,,0,,2002,Platinum,Existing Building for Non-Residential buildings (version 3),"1,06,584",0,0%,0,,3.0,0.0
Commercial Building,Mixed Development,Large,250.89,,0,,0,,1984,,,"65,947",0,0%,0,,12.0,0.0
Commercial Building,Mixed Development,,231.0,3rd Quartile,245,3rd Quartile,259,3rd Quartile,1997,GoldPlus,Existing Building for Non-Residential buildings (version 3),"93,730","85,731",91%,0,Water Cooled Chilled Water Plant,13.0,0.64
Commercial Building,Hotel,Omit,512.41,,0,,0,,2012,Gold,Existing Building for Non-Residential buildings (version 3),"26,387",0,0%,0,,5.0,0.0
Commercial Building,Retail,Small,365.78,,0,,0,,2011,,,"5,096",0,0%,0,,6.0,0.0
Commercial Building,Office,Small,238.94,,0,,0,,1994,,,"4,745",0,0%,0,,9.0,0.0
Commercial Building,Office,Large,182.0,,194,,157,,2011,Gold,New Building for Non-Residential buildings (version 3),"33,458","28,003",84%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,199.6,,0,,0,,2001,,,"15,423",0,0%,0,,14.0,0.0
Commercial Building,Hotel,,324.0,Bottom Quartile,313,Bottom Quartile,385,Bottom Quartile,2015,,,"10,803","8,964",83%,328,Others,0.0,0.0
Commercial Building,Retail,Large,409.0,3rd Quartile,425,3rd Quartile,439,3rd Quartile,2008,Gold,Existing Building for Non-Residential buildings (version 2.1),"19,146","11,950",62%,0,Water Cooled Chilled Water Plant,15.0,0.0
Commercial Building,Office,Large,159.58,,0,,0,,1974,Gold,Existing Building for Non-Residential buildings (version 3),"1,16,055",0,0%,0,,5.0,0.0
Commercial Building,Office,Small,49.2,,0,,0,,2001,,,"6,342",0,0%,0,,9.0,0.0
Commercial Building,Office,Small,17.19,,0,,0,,1960,,,"6,120",0,0%,0,,2.0,0.0
Commercial Building,Office,Large,297.46,,0,,0,,2014,GoldPlus,New Building for Non-Residential buildings (version 4),"20,484",0,0%,0,,8.0,0.0
Commercial Building,Office,Large,77.0,,66,,69,,2007,,,"18,500","18,000",97%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,196.0,3rd Quartile,153,2nd Quartile,130,2nd Quartile,2000,Gold,Existing Non-Residental Buildings ENRB: 2017,"15,740","12,800",81%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Large,174.82,,0,,0,,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"35,657",0,0%,0,,10.0,0.0
Commercial Building,Office,Large,207.0,3rd Quartile,212,Bottom Quartile,211,Bottom Quartile,2002,,,"15,345","13,475",88%,0,Others,0.0,0.0
Commercial Building,Retail,Small,121.72,,0,,0,,2017,Legislated,,"5,800",0,0%,0,,2.0,0.0
Commercial Building,Office,Medium,263.0,Bottom Quartile,250,Bottom Quartile,233,2nd Quartile,2009,,,"7,783","5,867",75%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2010,,,"2,105","2,043",97%,0,Others,0.0,0.0
Commercial Building,Office,Medium,136.0,2nd Quartile,138,2nd Quartile,136,2nd Quartile,1993,Gold,Existing Non-Residental Buildings ENRB: 2017,"9,471",956,10%,0,Others,0.0,0.0
Commercial Building,Hotel,,327.0,Bottom Quartile,303,Bottom Quartile,310,Bottom Quartile,2016,Goldplus,Existing Non-Residential Buildings Re-Cert (GM:2021 In Operation),"8,000","7,669",96%,293,Water Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,,0.0,,0,,0,,2009,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"12,110","10,380",86%,0,Water Cooled Chilled Water Plant,8.0,0.63
Commercial Building,Retail,Medium,122.0,Top Quartile,161,Top Quartile,191,Top Quartile,2017,,,"5,800","4,000",69%,0,Others,0.0,107.0
Commercial Building,Office,Small,89.43,,0,,0,,1973,,,"11,481",0,0%,0,,1.0,0.0
Commercial Building,Retail,Small,266.4,,0,,0,,1975,,,"2,851",0,0%,0,,6.0,0.0
Commercial Building,Retail,Large,394.04,,0,,0,,2006,Platinum,Existing Building for Non-Residential buildings (version 3),"1,42,853",0,0%,0,,7.0,0.0
Commercial Building,Hotel,Small,202.07,,0,,0,,2020,,,"35,642",0,0%,0,,1.0,0.0
Commercial Building,Retail,Large,334.0,,339,,329,,2010,Platinum,New Building for Non-Residential buildings (version 3),"3,43,000","2,30,000",67%,1612,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,177.0,3rd Quartile,166,3rd Quartile,184,3rd Quartile,2009,Gold,Existing Non-Residential Buildings (RECERT 2017),"24,089","23,530",98%,0,Water Cooled Chilled Water Plant,9.0,0.602
Commercial Building,Industrial,Large,319.0,Bottom Quartile,305,Bottom Quartile,303,Bottom Quartile,2001,Platinum,Existing Non-Residental Buildings ENRB: 2017,"99,091","77,451",78%,0,Water Cooled Chilled Water Plant,16.0,0.0
Commercial Building,Mixed Development,Large,76.25,,0,,0,,2002,Gold,Existing Building for Non-Residential buildings (version 2.1),"53,582",0,0%,0,,6.0,0.0
Commercial Building,Retail,Large,439.49,,0,,0,,2019,GoldPlus,Existing Building for Non-Residential buildings (version 3),"47,873",0,0%,0,,2.0,0.0
Commercial Building,Retail,Large,730.0,Bottom Quartile,467,3rd Quartile,484,Bottom Quartile,1995,,,"23,000","22,800",99%,0,Water Cooled Chilled Water Plant,2.0,0.0
Commercial Building,Office,,0.0,,0,,0,,1957,,,"2,126","1,930",91%,0,Others,0.0,0.0
Commercial Building,Office,Large,103.0,Top Quartile,85,Top Quartile,84,Top Quartile,1998,,,"22,438","22,337",100%,0,Water Cooled Chilled Water Plant,12.0,0.0
Commercial Building,Hotel,Large,159.59,,0,,0,,1970,Gold,Existing Building for Non-Residential buildings (version 3),"84,230",0,0%,0,,14.0,0.0
Commercial Building,Office,Medium,441.0,Bottom Quartile,423,Bottom Quartile,398,Bottom Quartile,1997,,,"8,214","5,679",69%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Hotel,Large,306.32,,0,,0,,2012,,,"16,026",0,0%,0,,6.0,0.0
Commercial Building,Office,Large,161.14,,0,,0,,2013,Platinum,New Building for Non-Residential buildings (version 3),"99,576",0,0%,0,,12.0,0.0
Commercial Building,Office,Large,135.9,,0,,0,,2008,,,"15,645",0,0%,0,,10.0,0.0
Commercial Building,Office,Medium,87.0,Top Quartile,80,Top Quartile,76,Top Quartile,2000,Gold,Existing Non-Residental Buildings ENRB: 2017,"6,327","5,400",85%,33,Others,0.0,0.0
Commercial Building,Office,Large,195.63,,0,,0,,1979,,,"36,800",0,0%,0,,12.0,0.0
Commercial Building,Office,Medium,132.0,2nd Quartile,125,2nd Quartile,131,2nd Quartile,2009,Gold,Existing Non-Residental Buildings ENRB: 2017,"5,274","4,701",89%,0,Others,0.0,0.0
Commercial Building,Office,Large,149.89,,0,,0,,2017,Platinum,New Building for Non-Residential buildings (version 4),"28,189",0,0%,0,,5.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,94.0,,81,,78,,2012,,,"6,193","1,000",16%,0,Others,0.0,0.0
Commercial Building,Hotel,,194.0,2nd Quartile,205,2nd Quartile,216,2nd Quartile,1985,Gold,Existing Building for Non-Residential buildings (version 3),"24,576","24,000",98%,324,Water Cooled Chilled Water Plant,4.0,0.65
Sports & Recreation Centre,Recreation Club,,25.0,,21,,22,,1984,,,"5,366","1,500",28%,0,Others,0.0,0.0
Commercial Building,Office,Large,177.1,,0,,0,,2009,Gold,Existing Building for Non-Residential buildings (version 2.1),"24,089",0,0%,0,,7.0,0.0
Commercial Building,Office,Medium,151.0,3rd Quartile,156,3rd Quartile,157,2nd Quartile,2009,,,"14,094","10,000",71%,0,Others,0.0,0.0
Commercial Building,Office,Small,57.38,,0,,0,,2020,Platinum,Non-Residential Buildings NRB: 2015,"22,087",0,0%,0,,1.0,0.0
Commercial Building,Office,Large,57.0,Top Quartile,69,Top Quartile,64,Top Quartile,2020,Platinum,Non-Residential Buildings NRB: 2015,"22,085","11,905",54%,0,Water Cooled Chilled Water Plant,3.0,0.56
Commercial Building,Office,Large,137.0,2nd Quartile,113,Top Quartile,111,Top Quartile,1996,Platinum,Existing Non-Residential Buildings (RECERT 2017),"86,572","83,381",96%,0,Water Cooled Chilled Water Plant,10.0,0.612
Commercial Building,Office,Small,101.58,,0,,0,,1983,,,"5,985",0,0%,0,,6.0,0.0
Commercial Building,Hotel,,363.0,Bottom Quartile,410,Bottom Quartile,446,Bottom Quartile,1990,,,"13,752","12,790",93%,215,Water Cooled Chilled Water Plant,11.0,0.0
Commercial Building,Mixed Development,Omit,243.05,,0,,0,,2010,Platinum,Existing Building for Non-Residential buildings (version 3),"5,81,511",0,0%,0,,11.0,0.0
Commercial Building,Retail,Small,79.08,,0,,0,,1985,,,"5,555",0,0%,0,,1.0,0.0
Commercial Building,Retail,Medium,0.0,Bottom Quartile,0,Bottom Quartile,416,3rd Quartile,2024,Certified,Existing Non-Residental Buildings ENRB: 2017,"9,905","18,357",185%,0,Water Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Retail,Small,343.45,,0,,0,,2013,Legislated,,"5,103",0,0%,0,,6.0,0.0
Commercial Building,Office,Large,144.1,,0,,0,,1991,,,"28,835",0,0%,0,,10.0,0.0
Commercial Building,Office,Large,68.57,,0,,0,,2005,,,"24,707",0,0%,0,,12.0,0.0
Commercial Building,Office,Large,56.0,,52,,51,,2003,GoldPlus,Existing Building for Non-Residential buildings (version 3),"16,259","15,500",95%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,Large,203.0,3rd Quartile,200,3rd Quartile,218,Bottom Quartile,2002,,,"39,145","34,501",88%,0,Water Cooled Chilled Water Plant,21.0,0.0
Commercial Building,Office,Small,361.59,,0,,0,,1986,Gold,Existing Building for Non-Residential buildings (version 2.1),"11,047",0,0%,0,,9.0,0.0
Commercial Building,Retail,Large,380.0,2nd Quartile,417,3rd Quartile,376,3rd Quartile,1996,,,"16,676","26,200",157%,0,Water Cooled Chilled Water Plant,8.0,0.0
Sports & Recreation Centre,Recreation Club,,161.0,,161,,166,,2018,,,"18,030","1,917",11%,0,Water-Cooled Package Units,0.0,0.0
Commercial Building,Office,Large,152.0,2nd Quartile,153,2nd Quartile,160,3rd Quartile,1976,,,"17,884","10,888",61%,0,Water Cooled Chilled Water Plant,4.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,71.0,,76,,69,,2002,,,"10,771","9,256",86%,0,Others,0.0,0.0
Commercial Building,Office,Large,167.8,,0,,0,,1997,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"64,846",0,0%,0,,4.0,0.0
Commercial Building,Retail,Medium,431.0,3rd Quartile,434,3rd Quartile,424,3rd Quartile,2010,,,"12,154","11,588",95%,0,Water Cooled Chilled Water Plant,0.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,49.0,,54,,53,,2016,GoldPlus,New Building for Non-Residential buildings (version 4.1),"8,294",280,3%,0,Others,0.0,0.0
Commercial Building,Office,Large,146.57,,0,,0,,1996,Gold,Existing Building for Non-Residential buildings (version 2.1),"22,518",0,0%,0,,9.0,0.0
Commercial Building,Office,Medium,237.0,Bottom Quartile,241,Bottom Quartile,215,2nd Quartile,1998,Gold,Existing Non-Residential Buildings (RECERT 2017),"10,577","9,171",87%,0,Water Cooled Chilled Water Plant,3.0,0.68
Commercial Building,Office,Large,378.0,Bottom Quartile,344,Bottom Quartile,304,Bottom Quartile,2000,Certified,Existing Non-Residental Buildings ENRB: 2017,"18,275","18,074",99%,0,Others,0.0,0.81
Commercial Building,Office,Medium,141.0,2nd Quartile,134,2nd Quartile,108,Top Quartile,1986,,,"12,948","10,762",83%,0,Water Cooled Chilled Water Plant,4.0,0.549
Commercial Building,Retail,Medium,104.0,,116,,125,,2011,Gold,New Building for A/C buildings (version 2),"8,599","6,523",76%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Office,,0.0,,0,,0,,1986,,,"4,316","44,615",1034%,0,Water Cooled Chilled Water Plant,16.0,-3.32
Educational Institution,ITE/ Polytechnic,,118.0,,122,,126,,1998,Platinum,Existing Building for Non-Residential buildings (version 2.1),"29,128","1,70,816",64%,0,Water Cooled Chilled Water Plant,4.0,0.65
Commercial Building,Office,Large,139.0,2nd Quartile,121,Top Quartile,107,Top Quartile,1970,Platinum,Existing Non-Residental Buildings ENRB: 2017,"43,687","24,638",56%,0,Water Cooled Chilled Water Plant,2.0,0.58
Commercial Building,Office,Large,326.89,,0,,0,,2016,Platinum,New Building for Non-Residential buildings (version 4),"1,29,726",0,0%,0,,2.0,0.0
Commercial Building,Office,Large,272.0,Bottom Quartile,276,Bottom Quartile,294,Bottom Quartile,2011,Gold,Existing Building for Non-Residential buildings (version 2.1),"38,624","38,624",100%,0,Water Cooled Chilled Water Plant,11.0,0.816
Commercial Building,Office,Small,129.54,,0,,0,,1975,,,"10,418",0,0%,0,,38.0,0.0
Commercial Building,Office,Small,74.1,,0,,0,,2002,,,"1,791",0,0%,0,,15.0,0.0
Commercial Building,Retail,Large,522.36,,0,,0,,1996,Platinum,Existing Building for Non-Residential buildings (version 3),"22,076",0,0%,0,,5.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,90.0,,91,,87,,1997,,,"5,400",700,13%,0,Others,0.0,0.0
Commercial Building,Retail,Medium,460.0,Bottom Quartile,456,3rd Quartile,476,3rd Quartile,1999,Gold,Existing Building (version 2),"11,260","3,000",27%,0,Others,0.0,0.0
Sports & Recreation Centre,Recreation Club,,233.0,,249,,287,,2002,,,"4,368","3,848",88%,0,Others,0.0,0.0
Commercial Building,Office,Large,192.61,,0,,0,,2006,Platinum,Existing Building for Non-Residential buildings (version 3),"1,44,109",0,0%,0,,11.0,0.0
Commercial Building,Retail,Large,312.17,,0,,0,,2013,Platinum,New Building for Non-Residential buildings (version 4),"1,08,169",0,0%,0,,0.0,0.0
Commercial Building,Office,Large,92.0,Top Quartile,88,Top Quartile,83,Top Quartile,2005,,,"32,812","34,622",106%,0,Others,0.0,0.0
Commercial Building,Office,Small,53.71,,0,,0,,2017,,,"6,493",0,0%,0,,2.0,0.0
Commercial Building,Office,Small,103.47,,0,,0,,1985,,,"6,268",0,0%,0,,22.0,0.0
Commercial Building,Retail,Large,342.0,2nd Quartile,352,2nd Quartile,372,3rd Quartile,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"65,640","40,727",62%,0,Water Cooled Chilled Water Plant,14.0,0.582
Commercial Building,Office,Large,143.33,,0,,0,,1995,Platinum,Existing Building for Non-Residential buildings (version 3),"17,827",0,0%,0,,7.0,0.0
Commercial Building,Hotel,,193.0,2nd Quartile,177,Top Quartile,192,Top Quartile,2008,Gold,GM:2021 In Operation,"41,999","41,999",100%,563,Water Cooled Chilled Water Plant,15.0,0.658
Commercial Building,Office,Small,190.05,,0,,0,,1998,Gold,Existing Building for Non-Residential buildings (version 3),"13,627",0,0%,0,,1.0,0.0
Commercial Building,Office,Large,301.98,,0,,0,,1953,,,"15,480",0,0%,0,,2.0,0.0
Commercial Building,Office,Medium,203.0,3rd Quartile,194,3rd Quartile,197,2nd Quartile,2014,Gold,Existing Building for Non-Residential buildings (version 3),"5,494","5,200",95%,0,Others,0.0,0.0
Commercial Building,Industrial,Large,290.0,Bottom Quartile,298,Bottom Quartile,289,Bottom Quartile,2012,Platinum,New Building for Non-Residential buildings (version 3),"28,800","20,897",73%,0,Water Cooled Chilled Water Plant,11.0,0.0
"Civic, Community & Cultural Institution",Civic Institution,,43.0,,38,,41,,1992,Gold,Existing Non-Residental Buildings ENRB: 2017,"36,664","15,000",41%,0,Others,0.0,0.0
Commercial Building,Hotel,,209.0,2nd Quartile,215,2nd Quartile,212,2nd Quartile,2007,Platinum,GM:2021 In Operation,"15,020","11,092",74%,140,Water Cooled Chilled Water Plant,5.0,0.0
Commercial Building,Retail,Large,53.5,,0,,0,,2014,Legislated,,"1,19,287",0,0%,0,,15.0,0.0
Commercial Building,Office,Medium,133.0,2nd Quartile,154,3rd Quartile,149,2nd Quartile,2015,,,"5,973","3,360",56%,0,Others,0.0,0.0
Commercial Building,Hotel,Small,523.02,,0,,0,,2009,,,"6,400",0,0%,0,,11.0,0.0
Healthcare Facility,Hospital,,306.0,,323,,310,,1940,Platinum,New Non-Residential Buildings (NRB: 2015) (R3),"42,293","33,778",80%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,,0.0,,0,,0,,1994,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"48,792","37,672",77%,0,Water Cooled Chilled Water Plant,9.0,0.61
Commercial Building,Office,Small,135.84,,0,,0,,1999,,,"11,470",0,0%,0,,1.0,0.0
Commercial Building,Office,Medium,54.0,,87,,54,,1989,,,"4,553","4,118",90%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Hotel,Small,228.91,,0,,0,,2014,Platinum,New Building for Non-Residential buildings (version 4),"11,783",0,0%,0,,6.0,0.0
"Civic, Community & Cultural Institution",Civic Institution,,149.0,,138,,139,,1985,Platinum,Existing Building for Non-Residential buildings (version 3),"20,488","11,088",54%,0,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Office,Large,130.0,2nd Quartile,131,2nd Quartile,131,2nd Quartile,2002,Platinum,Existing Non-Residential Buildings Re-Cert (GM:2021 In Operation),"26,137","24,225",93%,0,Water Cooled Chilled Water Plant,3.0,0.75
Commercial Building,Hotel,Large,36.37,,0,,0,,2012,,,"45,000",0,0%,0,,9.0,0.0
Commercial Building,Hotel,Large,175.53,,0,,0,,2004,,,"22,826",0,0%,0,,12.0,0.0
Sports & Recreation Centre,Sports Complex,,0.0,,0,,0,,1993,,,"9,406","2,533",27%,0,Others,0.0,0.0
Commercial Building,Office,Large,176.0,3rd Quartile,160,3rd Quartile,161,3rd Quartile,2005,GoldPlus,Existing Building for Non-Residential buildings (version 3),"27,562","33,840",123%,0,Water Cooled Chilled Water Plant,7.0,0.624
Commercial Building,Office,Medium,63.0,Top Quartile,100,Top Quartile,92,Top Quartile,2019,Gold,Existing Building for Non-Residential buildings (version 3),"13,855","1,200",9%,0,Others,0.0,0.0
Healthcare Facility,Polyclinic/ Private Clinic,,161.0,,174,,177,,1993,,,"6,304","3,206",51%,0,Others,0.0,0.0
Commercial Building,Hotel,,215.0,2nd Quartile,198,2nd Quartile,201,2nd Quartile,2017,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"29,553","26,700",90%,772,Water Cooled Chilled Water Plant,7.0,0.681
Commercial Building,Office,Large,140.0,2nd Quartile,138,2nd Quartile,141,2nd Quartile,1976,Gold,GM:2021 In Operation,"1,03,899","1,02,370",99%,0,Water Cooled Chilled Water Plant,5.0,0.63
Commercial Building,Retail,Large,248.44,,0,,0,,1983,,,"53,196",0,0%,0,,12.0,0.0
Commercial Building,Office,Small,85.55,,0,,0,,2018,,,"14,293",0,0%,0,,1.0,0.0
Commercial Building,Retail,Small,244.26,,0,,0,,2018,,,"5,300",0,0%,0,,2.0,0.0
Educational Institution,Univerisity,,70.0,,71,,72,,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"1,09,181","60,000",55%,0,Water Cooled Chilled Water Plant,7.0,0.6
Commercial Building,Office,Large,225.99,,0,,0,,1993,Gold,Existing Building for Non-Residential buildings (version 3),"49,048",0,0%,0,,0.0,0.0
Commercial Building,Office,Large,343.4,,0,,0,,1997,,,"37,819",0,0%,0,,4.0,0.0
